Iteration,Pancake Values,Syrup Values,PancakeAndSyrup Values
147,3,571141553,995254924
148,3,1675149852,1957241655
149,2,-954522019,1689007614
150,-1,846418775,-585697420
151,6,-1872252402,1537366025
152,-3,1153237380,1928661951
153,1,605466183,275318265
154,2,-1374707078,-529946627
155,3,-576991284,1739814574
156,5,-703740743,1896450590
157,6,-1098657700,1172237732
158,2,-869625255,304848653
159,-5,22813478,-913944718
160,-3,284616747,-422809267
161,3,-11680244,-643964839
162,-1,1209423876,155441020
163,-3,1421830248,-502793675
164,-6,1379411172,1850814215
165,4,406920162,1265575204
166,6,-1372199805,-1409291773
167,2,1213632430,-132060148
168,3,-367360186,412403353
169,6,-104969610,-2049079647
170,-5,207513750,2092930568
171,-1,100389527,-1849576369
172,4,522791683,-1454793945
173,6,298213485,273880684
174,1,177586421,1075451639
175,6,135421018,-469193663
176,1,-429239804,-988452452
177,4,-167956122,716595549
178,3,536215758,-1598929492
179,5,-2114891476,-1191574344
180,-6,2079707191,1242934078
181,-2,1231622569,-1861808316
182,-2,-27741310,-1382018854
183,3,-54275347,-271014494
184,2,149421592,968514405
185,4,-1225243124,-1601494258
186,6,640225930,6468315
187,-3,801845382,-680441032
188,-3,2105200556,800196112
189,-5,-20451340,507626821
190,-6,123991289,-1483422915
191,-3,-946342051,-1551529087
192,2,338109138,551960191
193,1,589387245,1269488742
194,6,1544959225,1627420167
195,-6,-2044629086,-1003382603
196,-2,1945755430,964596208
197,-5,1284996764,783049271
198,-2,687390343,794911992
199,-1,1930267189,-1670146849
200,6,1798084400,14890719
201,-1,1539696981,1169887186
202,3,1186166648,-1962298514
203,-4,-1885872727,254428455
204,-4,-1738326471,-575498125
205,4,456365114,28068669
206,-6,-1157415081,-1737098814
207,3,1756085073,-111749046
208,-2,1204208090,-1631803027
209,-3,-2046255632,1253074488
210,6,2076994866,-794123148
211,3,422391984,-1115606872
212,2,-2062141429,-2039634262
213,-3,1498901101,-1639171608
214,1,-483857905,-1463503826
215,-2,-1916847799,-1178582118
216,-5,154221267,-1012265331
217,-3,-2012257927,1228508730
218,-1,-2076125199,189971159
219,2,-408023467,-1142953608
220,2,-1075674507,-1785928954
221,4,-392356573,-691307086
222,-1,1407066028,1010255825
223,-4,-608611741,-1762233552
224,-6,-1911701359,-1069214441
225,-6,2087772987,861375073
226,6,1408079880,1761497633
227,-1,-353471976,-1728108201
228,-6,307097883,-2082020382
229,-5,-1310428786,-1484134479
230,-2,2128732490,497899470
231,-1,1583727223,976955608
232,-1,2073102689,1381015870
233,-3,-175127993,175963306
234,4,-1914032897,1531231955
235,4,-550376566,1530531363
236,6,-1115326348,2000894250
237,1,1466093004,-1608110797
238,1,-821642636,2010662598
239,6,1265428421,1081083607
240,-2,15275848,-1953997068
241,-6,-1820570169,820954262
242,2,1938331785,-766168478
243,6,-860045581,376554937
244,-3,-1917819048,-2117964936
245,-2,557430095,-513388549
246,4,-1248783825,-1088755178
247,5,-437771568,-2061792244
248,-2,409539731,-1889946856
249,6,999968043,-708231844
250,-4,660007780,36956942
251,4,803582465,-720609969
252,3,-410600686,-1987070795
253,-3,1780269762,-1369582522
254,-2,-1761043526,676803501
255,-1,681499480,-520980837
256,5,1283458131,177098317
257,-1,330022776,-615835219
258,-6,-1517564936,2024219899
259,-3,-1666755599,-1181474895
260,6,-92645425,540676145
261,-3,-1048901686,202847498
262,-1,-1416012443,-1098175490
263,-2,-1127044386,465183215
264,4,1667100625,831689234
265,3,1395925056,-256647677
266,4,229505590,26855449
267,5,173029020,941057594
268,-2,-533492219,1256875932
269,1,990864777,-1001082764
270,6,-690093377,968259692
271,-1,-1317664532,1977732779
272,-1,1750470059,-541289549
273,2,784465366,896868538
274,3,1384098382,-211348630
275,-1,-1238623264,1947198934
276,1,179651855,-1966769329
277,-4,-1896721266,13943768
278,4,-1583825522,645551710
279,1,850269069,-894265368
280,-2,-310170595,-2010969663
281,1,-859210533,1895989499
282,1,148197120,2146709929
283,-6,-993428844,1197065780
284,2,-1541401994,-66383129
285,-4,-2040855290,1096829904
286,5,1866515877,1584448607
287,-2,846999605,1269359496
288,-5,1646645994,-612247446
289,1,-60694766,-1730697733
290,-6,-1704481211,-1626563746
291,4,73124931,-1921167342
292,-6,-19530567,-1171815664
293,-2,903974760,715529769
294,2,-2000111213,1346556000
295,1,500055255,-960065117
296,4,1176376080,-170357537
297,-3,1715378872,1252383699
298,4,609019330,1388961363
299,-6,-1181622572,1188171839
300,-1,1735097398,212577806
301,4,-1824013549,-1996950760
302,4,878264133,-984642187
303,-4,1151280710,1129830729
304,6,-1054133568,-1198229888
305,3,-1941249317,2007136903
306,2,-250633558,-208817118
307,5,-914699657,1420526991
308,6,-1888433751,188618726
309,-6,440885546,-1607441477
310,-1,-358140312,930271343
311,3,1992088651,252639056
312,6,-1824258346,740280506
313,-6,-1043718428,43319704
314,6,-146663763,1246541590
315,-1,659406644,-1122066609
316,-3,-290070827,-403478684
317,-2,1757830935,965165795
318,-3,706108482,911601679
319,5,1031769550,-258949553
320,2,-591605790,1460131230
321,2,-2108198333,1402142430
322,-5,-495565353,-621917078
323,4,-2130822126,-973826863
324,6,1739866189,-167815018
325,5,-1550370178,-1014036071
326,4,1679299142,104810903
327,-2,-2053463123,-1088964452
328,-1,-1271050416,-425204
329,-2,1230510014,96894287
330,-5,-327449712,1405914093
331,-6,251622433,890884750
332,-3,1397486420,1393825809
333,-4,1915334555,509625720
334,-6,1922778536,1291481379
335,-2,1054319466,-1832240145
336,3,-2133963039,-633099863
337,-6,1932541867,-402139856
338,3,172854560,-1038240754
339,4,1141028017,1082715354
340,-6,-573818311,-1697564525
341,-4,1887350136,-1270244829
342,5,-1553995269,-1609611571
343,4,-385555372,-336097421
344,6,296972282,698478587
345,-3,-913590111,319606555
346,6,-1657702458,-253123370
347,-4,2074422964,1238825659
348,6,1698978769,-1007113624
349,6,-1744942881,388827226
350,4,-1472186707,-1856371835
351,6,445777142,1839164075
352,1,-832339215,1532651398
353,-1,-322929027,1650772782
354,4,756727596,1928961420
355,-4,-606347256,348192286
356,4,1465315786,1303486687
357,-4,1060707268,299132173
358,3,1519747704,933553840
359,6,511382646,-1613152806
360,-5,781551987,-2060417713
361,-5,321379337,-89039855
362,-6,-313027580,852042387
363,5,672548051,531713511
364,-1,-1511704996,-900665940
365,-6,-1904086525,2072587005
366,-2,-1847502233,-1461923011
367,-1,330306035,2025063822
368,-5,794304737,1479422354
369,-2,-957767248,1230262877
370,1,1105745286,1558416621
371,-4,-1640509411,-2031496973
372,6,455504220,-2103279303
373,-4,1206796159,-462538468
374,4,344816413,1479908604
375,-4,-920230680,889591232
376,-3,1063803747,1260441470
377,4,562818005,-363402873
378,1,-786642477,-1777182461
379,4,-939166005,335567063
380,-5,943325111,-1859709085
381,-6,-1029140720,1977156024
382,-3,-602205677,-919458264
383,-5,1891173157,-1328670061
384,3,2116937706,-1143460150
385,6,-517632790,-388800381
386,2,1564908121,-339388429
387,2,-906981395,435747626
388,-3,1170853035,1273456472
389,5,-1633611978,2135539689
390,5,-1382853522,60150428
391,1,1492971889,-656548187
392,4,157697364,-944545542
393,3,-2097630809,220309705
394,-1,1014550855,1636009142
395,3,-1961242589,1921394360
396,-1,1616806020,-1936478509
397,1,-1315017163,-1122945497
398,2,-982994395,923821640
399,5,1945281684,1446367084
400,-6,50190506,-1764484923
401,1,-1525017141,-596294905
402,-6,885952268,1681584319
403,-2,1680116470,-9639154
404,4,338657393,815689406
405,3,1551050083,1594114382
406,-1,-665292454,-255711956
407,5,-575254670,-1514220382
408,3,-714649246,1002451303
409,3,2072726649,1048992244
410,-4,1353315705,-1657136583
411,5,-324359224,-1019140616
412,2,1094533928,-105443342
413,-2,1355638998,198550004
414,1,-2014238158,147837618
415,3,1761866758,388481815
416,-2,2118193690,-1811590797
417,2,751329735,686632049
418,2,-1018423419,-2067279313
419,-6,1126731369,87722806
420,-2,1108194146,593460733
421,-6,-116121206,1432685830
422,-4,-745415110,-1222669963
423,-4,-806340665,-1986851261
424,-1,1630101701,1500400390
425,3,1234070694,-1782608433
426,-4,7236638,-1261343811
427,3,-923530282,-2092019061
428,-4,-2127596047,-1430824019
429,-6,-1031211557,1968524507
430,3,1896025933,-578294406
431,5,460619169,153184151
432,-4,995442673,-430086851
433,-3,1737614067,-1549122875
434,-4,353826638,-1603885076
435,5,1435176040,-1015139627
436,-3,916952056,-420997906
437,6,-1048253284,1966651318
438,3,-1273302398,1732201728
439,3,2007477293,-146351375
440,5,1828191192,-1489131319
441,-4,748392057,-962611511
442,-2,-1428894384,476300421
443,-1,1603492308,88699837
444,-3,491691406,-958055175
445,-5,-1258515592,-109504315
446,-1,480276901,1919851808
447,-5,-359626816,1079460304
448,6,775409208,423941136
449,5,51852528,1704032763
450,-5,271057987,1915154404
451,-6,-1899421810,-921445218
452,2,-1547538397,-1836131824
453,5,502638812,-1151245156
454,1,1704857907,-2096812885
455,6,-1550910919,-909967442
456,6,-2062234960,442796926
457,-5,-1358253247,1263238021
458,-4,-279164518,1266219464
459,-6,1101808247,-69683076
460,6,-1108741441,821579192
461,-5,-901455662,-228774054
462,4,-1460027499,1821118725
463,3,1591873538,285743067
464,6,-1074759045,746870638
465,-1,-535997763,-1110007066
466,-3,1771296576,1801308980
467,-6,-667779971,-1804290464
468,6,-1110516591,-486738406
469,5,2085553122,1261969830
470,3,1020709772,-835068494
471,1,-211735247,1522329187
472,5,-318825331,-1309643916
473,1,-1458104240,-616025150
474,3,1991979515,-1248198317
475,6,-520574810,393216356
476,-5,-1723220794,1634624584
477,5,-1245787160,-316305665
478,2,-349829243,-261958142
479,-5,-1133662266,-451665841
480,6,509082678,-437028834
481,4,840098905,-574947410
482,-2,-1277849309,-1404784624
483,6,-1879886887,9584533
484,5,2035886226,1022405462
485,-4,1865006378,396588557
486,3,23888027,1845902660
487,-1,1631777869,876096794
488,-3,-557868450,-382825561
489,5,220550828,-853315401
490,-4,-830937406,-1528675525
491,3,717078222,1061891202
492,6,2020990543,897828061
493,-1,-833582777,-1920052958
494,-4,711252994,393791983
495,-4,651409583,1139017613
496,-6,-1042878800,1067150851
497,1,1573754141,-1137918160
498,-2,1709157541,900233109
499,1,1516785969,-204615002
500,-4,-1302562995,-1808823773
501,-1,683704106,1745236430
502,-1,106052709,1020021344
503,3,1514455874,-928195964
504,-2,1693252992,-1545713556
505,-6,183622452,-422451905
506,2,505707823,1103847675
507,1,-22679329,-1476511985
508,4,-848940094,919108296
509,-4,-514082023,576472262
510,1,-861237035,-1093237673
511,1,499846519,-1608980246
512,-2,-779337279,1358743770
513,-4,-257698928,1772232525
514,2,-1016985488,-2043867503
515,-2,-623140281,-936992631
516,-5,1310208387,-76368281
517,-3,304712875,1969656471
518,-4,-1984444833,-629930837
519,1,-1702327499,863122690
520,-4,789265323,-911081022
521,6,851403721,796413716
522,-5,-1442885099,-607171207
523,-2,-500594119,-1156250517
524,6,-571760035,1757383060
525,3,-1243450249,-1689067310
526,6,-1367491766,1322064548
527,-4,863319761,1080697702
528,4,1224686275,-1515434334
529,1,409393440,506963724
530,-4,1977804086,-1073049416
531,-3,-1482951292,1005876228
532,-1,-55094166,530451933
533,-5,866568316,-1628819472
534,1,-722652400,11439818
535,-2,1115249450,-1235730023
536,1,499808199,-1763550268
537,2,-754661576,1533624968
538,-1,-475869016,1093175034
539,3,148706135,1368698342
540,4,615877789,-2029280179
541,5,-1091121673,-1786808970
542,2,-2029981239,969959844
543,-5,444852095,-700138027
544,-3,-427173821,-1481515265
545,5,-1207476238,-1257478419
546,3,-1021921376,-1327603803
547,-1,523297022,1701817587
548,6,769351150,-1811539256
549,6,-823112325,1466271557
550,6,1495830660,-1956174368
551,-2,-663766153,-375942721
552,-2,-1062634310,-1471193362
553,-3,541657214,512700076
554,3,1561118900,-790907108
555,2,-987021702,-690705671
556,4,578867713,638850472
557,-3,-1893237197,-148077234
558,5,-831952556,-1958521499
559,-1,-1373788653,-689153032
560,-6,-1275980156,1893343385
561,1,537759084,-782586168
562,3,1431078986,1018427198
563,2,-217051191,1744193328
564,-2,1172154399,-1843712399
565,1,-1976635192,399050272
566,4,-2004239484,2010134971
567,3,1421198297,-1615481771
568,-1,229957671,-692407417
569,-6,2084043815,1270044599
570,-5,-1634271840,1385432685
571,-1,1643444056,1555355301
572,5,1770096911,439184499
573,-4,1775392656,-1562403349
574,4,-214807779,1274973810
575,-1,217559147,886107584
576,-4,-69106077,-1606352621
577,-6,513920264,-1335012804
578,6,-315142361,1878852428
579,6,1739204522,1085153290
580,5,-118256257,-66837008
581,-2,-761810016,2035399810
582,-6,1534525169,-1638273471
583,2,1143635107,-2114053534
584,5,2006745024,-1467116337
585,5,263896512,677447808
586,-6,2131312220,1980268918
587,4,1573471287,1900232885
588,1,-1803025878,330871316
589,-4,-371932058,1470605634
590,2,1911328129,-1256415601
591,-2,-572362492,-1018388813
592,4,-1713616585,1982975640
593,4,1186422318,-778447899
594,5,533636559,436003526
595,-5,-95584925,-1474874818
596,-5,-409319817,-1587885672
597,-3,-1065828634,1904798557
598,4,775703999,974274378
599,-1,-1825322605,-1588229634
600,-4,-1925964919,345110791
601,4,-2026163910,-1607752600
602,-4,-1274604055,-717043313
603,-6,414259021,-165503903
604,5,-953759468,1975612027
605,-1,-1279843267,671679032
606,3,1610310531,870197791
607,-3,-646195643,789609052
608,-2,-327000789,922313981
609,-1,-716936449,80498538
610,5,387609186,58550948
611,-1,-170454569,397147328
612,4,99196000,-1281461741
613,4,1060074866,887244709
614,-5,-1059613732,-481898912
615,-4,1318354459,-2063817075
616,3,760269603,-1831433812
617,2,-932745840,1540403473
618,-1,39853089,1342463728
619,2,1334565569,-1835430786
620,2,1533480365,-467596512
621,-6,-116641268,1368894574
622,3,-1118214249,644291955
623,6,-1477148527,421822947
624,2,-2047623357,-1127421199
625,4,1671426898,-1873929182
626,-6,889936359,-1910194210
627,3,75948598,-1963617338
628,-1,2019916201,1211588750
629,5,896123951,2126779665
630,-3,2096231919,-2026683572
631,-4,-426706510,565968905
632,6,-1857576251,-766618749
633,-1,1414196931,-2052962614
634,-5,-372892244,-1931407437
635,4,350215550,-1568943502
636,-2,-1301609037,174000050
637,4,-747978425,232286753
638,-2,263093240,564183464
639,3,-1660856888,1722953219
640,4,361755583,324757827
641,4,-400803673,1458878948
642,-5,662324018,-1247000588
643,-4,-1466110130,-284341746
644,-6,1384818199,-159231259
645,-2,-1256386884,1729457174
646,-4,-117260873,-1062993163
647,6,1376970401,133100788
648,6,-1866875673,-899893591
649,6,2094016454,379366844
650,3,-385564448,1552346367
651,-1,-1424327264,1657748481
652,4,751460107,-1412473906
653,-1,165440939,622656163
654,-5,-1746409886,1037301226
655,-6,1299938392,966030029
656,1,883261589,1386933926
657,-1,607447413,-1938414469
658,-4,1963381977,-4098011
659,1,-1161666579,-1317807013
660,-5,-1826099857,-1053932355
661,4,-1731215338,-634213912
662,1,-713319588,1895089285
663,1,595641598,-1670062560
664,-4,1514063601,-1728279411
665,5,-2140062722,881590454
666,-2,1591711134,1439416905
667,3,749848608,-1928693248
668,-5,1487282723,1344282320
669,4,1575503666,538680419
670,6,1612099697,1861400701
671,6,900049502,941298636
672,-2,1076527172,-1697817006
673,3,-1557844776,-1037555818
674,-6,701978579,1041426592
675,-6,1284559881,73852616
676,2,-2139904699,-1461202878
677,2,2052635561,-2079691003
678,-1,-1171562880,31823814
679,-6,-272626877,-1294652935
680,6,-1001940734,1831606532
681,1,-1123751112,33151012
682,-3,1856789927,-1865961361
683,5,-691468008,-812032690
684,-1,-1634628568,-7272678
685,5,557480398,705392475
686,-5,1186336447,1505147392
687,1,1339434494,-261304655
688,-3,1081186787,498675158
689,6,2085933963,-774236905
690,-6,-1337199967,1236279057
691,-3,1170239125,425332187
692,-5,-1780698,1084832867
693,-5,257787523,319156873
694,-2,-901333855,1222152905
695,-2,796059302,-347387257
696,-5,982270052,-1176679296
697,-4,-763043138,-2015712376
698,-6,-564725779,469423276
699,-3,66062617,1073890695
700,2,149644072,-1561675408
701,6,-632139976,-1243710339
702,6,1029772667,1792807375
703,3,81874335,-1947296707
704,5,159546078,785687094
705,-5,-665046700,1075038075
706,-4,1197449822,1085966437
707,-5,1489699922,170554238
708,-1,1916243924,-346549122
709,4,843397990,248545452
710,1,1770360393,1160782291
711,-6,-1374326602,1528434234
712,-4,-214330488,-1051622658
713,3,1579391709,-185781806
714,4,698822962,-1659239338
715,-3,1564871462,166973160
716,-4,-773863716,-2039481959
717,-1,17041200,1445524963
718,4,-2036594298,-1793715294
719,2,-552214080,467808255
720,-4,889899501,1865933289
721,-1,-1055372309,552270941
722,2,925989176,-59274363
723,3,1745587417,-117987245
724,-4,-211005785,730215559
725,3,709221195,-357179836
726,1,-1234269063,-418580856
727,3,-727163763,963226179
728,-4,1147529373,-1138277692
729,6,1842665434,-1196084415
730,-5,1194246527,488608260
731,-1,-754620421,739821797
732,4,444791709,480267591
733,1,1706930786,1555994544
734,4,-1960172331,-1992191930
735,-3,1827048737,-560590909
736,-5,-1786643417,-496420695
737,3,113310330,670432832
738,-1,-1294018877,-404137859
739,-6,-2140828771,2044661674
740,-4,-2072399565,161144495
741,-3,-269021813,-2139262253
742,-6,1383048630,424955057
743,-4,-959490242,-1932470821
744,-2,-1496238541,-2115715162
745,3,-1812350500,-1033820674
746,5,225182775,441906009
747,-4,-2067534222,440038374
748,-5,1713738368,1682726207
749,-5,-1182962580,-1617817871
750,4,-1473592806,1087242666
751,6,1745489774,362853917
752,5,-677936409,1643166238
753,1,-734580600,1878099632
754,3,-1771335789,-1580893312
755,-1,-717193077,2048879780
756,-4,-1424250539,-41822036
757,5,2052781387,229483222
758,-4,565645693,1524677071
759,6,219411472,-1635233423
760,-2,953542401,1023954067
761,-2,-36582647,-134894780
762,-2,-510381650,-1460495239
763,-3,47140144,1001517958
764,-6,-1504825396,-670125982
765,-3,375048348,-1127554543
766,2,1527452646,-207991190
767,6,-1078158174,-587513696
768,-2,-1639060289,-1531230395
769,-2,-1146148852,742981542
770,6,-2007956315,-688278769
771,5,-784212505,-316018957
772,4,-905097181,1446573667
773,5,-1452061998,-1168786946
774,6,-55809336,-322149423
775,-4,1754594126,-753935026
776,3,199481608,-220699865
777,-3,-1790643447,-70709554
778,-4,426342030,1214095753
779,5,-887108598,-1190505154
780,-6,-1637949826,646510322
781,3,1570904039,1646092884
782,5,-1216460995,952566465
783,-4,-1698891941,1021361729
784,-6,-1234253101,-1965047845
785,1,1162052887,781816801
786,-4,735929457,594236612
787,3,-123974103,151934017
788,1,1013778757,1487720895
789,-4,377453741,1524133217
790,3,-1852090119,105889691
791,6,979898415,1362650593
792,-4,695579610,1237073884
793,5,1591438797,87504759
794,-5,-1015626430,-622727518
795,1,793424501,117459165
796,-1,1227175445,-795736696
797,-5,-2038227363,-1190502337
798,-3,1951448730,1490545951
799,-2,-968163917,958287666
800,3,-1434817007,926159608
801,5,-491314898,1920924626
802,-2,523488190,169239404
803,-2,373871954,-2144652988
804,-1,-970338656,1154754864
805,-4,900560697,488456662
806,-2,-1723639929,1373958763
807,-6,1515867931,-1539993410
808,1,1064877204,2117361041
809,1,-1681250038,2068495418
810,-2,1488630063,-548835695
811,6,-894315522,880775158
812,5,-630310750,1368427522
813,-4,283088142,-1166475348
814,2,-917528561,-1395421713
815,2,903537692,2080612441
816,-6,1411860321,-1789885789
817,-5,205892203,2069711264
818,3,1731343516,-1383417868
819,-6,-1721116788,-703261106
820,-4,1603234619,2063612309
821,-1,-1128567460,1086556606
822,1,-241647487,899919848
823,2,-1691128234,-407627175
824,-3,606562931,-1991932149
825,5,-240039483,-1822164648
826,4,828766284,1037223734
827,-1,2012027029,1124724127
828,1,747850840,1126146661
829,6,1955611844,529376985
830,-6,1866556789,-1889624711
831,1,-1990744702,-1504458783
832,-4,1827907672,-63243135
833,-1,1964495571,916615462
834,5,1527833961,-450038470
835,5,-1165684855,2007528156
836,-6,895120330,-1280557147
837,-5,1144041228,2091818837
838,4,1878239064,-1698848094
839,1,-1079853900,-230530271
840,4,-1839014135,120460109
841,3,2142362960,-1262564461
842,5,826918233,14123378
843,-3,555019415,629845456
844,2,-811303566,-570142098
845,3,2027174475,72255086
846,5,-930873393,-1356515193
847,-4,1755349187,1505385591
848,-4,1768631858,-1917030481
849,3,180227305,-2096231846
850,-1,1314641040,276127120
851,3,1816523661,-1128747740
852,2,663891976,515503866
853,2,1939171932,-554234361
854,-5,146287987,170405934
855,-4,1307479942,1002832210
856,-5,-1915045747,1934069929
857,-2,-328310646,-2114284909
858,4,-187212492,-1539004487
859,2,-1546420177,729553420
860,-4,648273966,1745081250
861,-3,-178098292,-480759608
862,1,-1681590942,-755566951
863,-5,2041969780,2083674942
864,6,-22589044,-1406186835
865,3,-2006372141,-1270297481
866,1,1483659920,-1776747794
867,-5,-1068069007,747842322
868,1,1751151858,-1735127081
869,-4,-1588549862,200233922
870,-1,1295582510,1704658290
871,-6,1469738772,-655490600
872,-5,640333069,-352541963
873,3,-1434958064,-1569268918
874,1,453371212,301356262
875,-6,-2074810505,1955334589
876,-4,-1408719975,1104589462
877,-6,-1667385401,-937355078
878,-4,-735488253,1133566252
879,-2,992948136,-93982717
880,-5,-510376281,451625171
881,-3,2082419749,982469055
882,6,2059011595,1140793321
883,2,347409661,366518588
884,6,-1160861656,1434749267
885,-6,-1654602730,830144167
886,1,-290693701,1957604112
887,-6,743569568,-2010382543
888,-4,69358144,-2094082560
889,4,848717678,583258229
890,2,-845002378,-970290004
891,-6,878611939,1416922756
892,-6,-334254417,1211638384
893,-6,-1123040977,-900118845
894,-3,2103562952,-622584278
895,2,1884951760,1231533830
896,3,396219946,373354644
897,-1,2054710623,-1391977362
898,-6,1685465298,157803358
899,-4,1624955654,1824303782
900,6,-464657148,934045465
901,-5,-881328959,1552575437
902,-6,1368932913,1847034354
903,-6,-1275022825,-1720749495
904,4,2033253109,1805165941
905,-3,-803399245,647793842
906,3,-633993157,1073798727
907,6,1567753864,1770015699
908,-5,-569771355,158031850
909,-5,120587079,-1692039438
910,3,-1428399498,-1133684800
911,3,-404739094,1136918664
912,6,1692457699,-2022038668
913,4,-1537434373,1254723652
914,-5,1961524809,1912194374
915,6,-491011552,1229975700
916,-2,-1970827315,542022489
917,-5,560326212,743427992
918,3,1552513304,2022922047
919,4,872570204,1598228569
920,-5,-1622287362,1896385463
921,-6,-1585525806,-112534716
922,-4,-824834814,-1906186351
923,-2,-1166270309,211105961
924,-2,500508489,-2116265139
925,-5,-247454447,-659528419
926,-4,519532483,374846569
927,4,334391709,983447738
928,-5,932647617,309135111
929,6,-281663362,-1994279230
930,-1,-702049452,-1943745957
931,-3,1748445,1396223051
932,-3,-180285421,1168982463
933,-2,-1139737886,1317955970
934,-3,1541353993,162101334
935,-3,201731537,-1210338590
936,-3,848462019,-23357018
937,-5,-1519155941,-490073198
938,1,-474136541,1339910856
939,4,-1057176667,-1805824741
940,4,-1341215952,558402028
941,3,545692699,-1874265419
942,1,-1284997826,-106963043
943,1,-868991284,385466462
944,-4,-546796245,639953900
945,6,-2051220400,1381000755
946,-1,-1554019422,-580917507
947,-2,-1496300902,527450645
948,6,516169027,800552526
949,4,1876385216,1280756594
950,2,-2025755636,74691133
951,1,491066428,1629925287
952,4,-2106633495,784846985
953,-5,64162414,472649857
954,3,-1861762059,-1859815798
955,1,-1276299707,-418620725
956,1,-1318239490,-1380917556
957,-6,750834421,-61581337
958,-5,-1103625528,-1581387204
